,text,username,hashtags
0,Criticize but offer not real solution. That's the GOP MO since Obama came into office @bonhomme37 @ron_fournier,Joe vs the Fascist Volcano,[]
1,Photo by @krazen #HOODROCK2 with #JayBraun Dylan Terggart + Tom Wilson + Max Calkin + Obama Isaiah… https://instagram.com/p/3J9hfWqb25/ ,YJ aka Young Jimmy,"['HOODROCK2', 'JayBraun']"
2,Photo by @krazen #HOODROCK2 with #JayBraun Dylan Terggart + Tom Wilson + Max Calkin + Obama Isaiah… https://instagram.com/p/3J9K6Fqb2R/ ,YJ aka Young Jimmy,"['HOODROCK2', 'JayBraun']"
3,Photo by @krazen #HOODROCK2 with #JayBraun Dylan Terggart + Tom Wilson + Max Calkin + Obama Isaiah… https://instagram.com/p/3J88x3qb1t/ ,YJ aka Young Jimmy,"['HOODROCK2', 'JayBraun']"
4,Photo by @krazen #HOODROCK2 with #JayBraun Dylan Terggart + Tom Wilson + Max Calkin + Obama Isaiah… https://instagram.com/p/3J82cOKb1e/ ,YJ aka Young Jimmy,"['HOODROCK2', 'JayBraun']"
5,Recording #HOODROCK2 with #JayBraun Dylan Terggart + Tom Wilson + Max Calkin + Obama Isaiah… https://instagram.com/p/3J8vNsqb1K/ ,YJ aka Young Jimmy,"['HOODROCK2', 'JayBraun']"
6,"If you think that Obama is
doing a good job,""then you
should think again"".",Jeff Scott Smith,[]
7,"In Rhode Island, residents gush about paid family leave: President Barack Obama is making a renewed push for… http://newyork.cityandpress.com/node/9632054 ",New York Now,[]
8,The ‘Rise’ of Obama’s My Brother’s Keeper initiative - The Washington Post http://www.washingtonpost.com/blogs/post-partisan/wp/2015/05/20/the-rise-of-obamas-my-brothers-keeper-initiative/ …,Leon Dash,[]
9,.@_AllisonWood we already have @BarackObama's voice in 3D and would love to see @REIFY_nyc's work! https://sketchfab.com/models/ce314b05f6fb40dda7cfb2b130f478f8 … tx @amrbss,Sketchfab,[]
10,@BarackObama barack all i do at home is design i dont even hang out i  dont have a gun http://im.wiling.to  take a lie detector testjudy,angelica disalvatore,[]
11,@BarackObama barack people want to lock me up for things i havent done  im innocent i dont leave my house designing judyschiller,angelica disalvatore,[]
12,bueno llego #obama @leruffo #809lounge #nyc @leruffo @ 809 Bar & Grill https://instagram.com/p/3DRzlIltju/ ,LERUFFO,"['obama', '809lounge', 'nyc']"
13,@BarackObama barack i got blocked againunblock me please judy capone judy soprano@judyschilller13,angelica disalvatore,[]
14,@WRadioColombia este Obama es peor que Santos ! Lo bueno es que ya se va de presidente en cambio a Santos nos toca aguantarlo por 3 años mas,Jackie Díaz,[]
15,@BarackObama its judyschiller capone i got blocked again help im not doing nothing wrong,angelica disalvatore,[]
16,@BarackObama barack im giving some real important information on twitter and i got blocked again can you unblock me,angelica disalvatore,[]
17,"Barack Obama, il suo account Twitter in balia degli haters: “Scimmia, torna nella gabbia”. Il New York… http://in.diggita.it/9xL9gs  #newyork",New York 24 ore,['newyork']
18,@BarackObama barack i havent done nothing wrong to go to jail ask a psychic,angelica disalvatore,[]
19,"If your defense is ""Good people make mistakes"" you forfeit the right to bitch about petty shit Hillary or Obama did, you cantankerous hack",Joe vs the Fascist Volcano,[]
20,RT @TeresaKopec It's as if the economic crash started the day Obama took office & not as the end of 8yrs of GOP control of White House.,Nick,[]
21,Jesus IS my king not obama,MichaelUfie,[]
22,"That is your dream, Ex.Gov.Granholm, that President.Obama  will pull out. You and Fareed Zakaria dream and dream,but  he will be out.",VENKAT M,[]
23,“@michelleinbklyn: Herman Cain is brilliant at filling up his time without saying anything whatsoever.” just like #Obama used to be,jrbbl,['Obama']
24,"""Obama taught america that a black man can do the same thing a white man can...  F*** up a country"" hahhaha",Diana Dias,[]
25,"gag. RT @HuffPostGreen: Robert Redford thanks Obama for ""standing up to Big Oil"" (VIDEO) http://huff.to/ut7ykc ",Tanner Walle,[]
26,RT @spacepolitics: Cain repeats his criticism of Obama’s space policy http://dlvr.it/vnks7 ,Ron Atkins,[]
27,My lady ain't no Michelle Obama  but she be one fine ass bitch.,Backpfeifengesicht,[]
28,Video: A Day of Heavy Diplomacy in Hawaii for Obama http://bit.ly/tjfu8s ,Wysk,[]
29,"I'm at Obama's Old Apt (142 W 109th St, Amsterdam, New York) http://4sq.com/rr02TF ",Dr Urbs,[]
30,@BarackObama how come every American is subject to the decisions of the people/corporations that have the most money? is this freedom?,Nish (Shawn) Maharaj,[]
31,Video: Obama: Penn State Abuse Cause for Soul-Searching http://bit.ly/t5U5eT ,Wysk,[]
32,Video: Obama: Penn State Case Cause for Soul-searching http://bit.ly/tUjYNj ,Wysk,[]
33,#CarrierClassic - President @BarackObama addresses the military & teams on @CVN70 flight deck» http://es.pn/vyfZtQ ,Ralph A. Gilmore,['CarrierClassic']
34,Awesome! “@AP: Obama watches No. 1 Tar Heels beat Michigan State 67-55 in Carrier Classic on USS Carl Vinson: http://apne.ws/rNA8hT  -JM”,Stephen Elms,[]
35,"Obama, really? Stop talking and do something",Tom Kelleher,[]
36,“@Doctor_Iyo: Damn Michelle Obama look good !” man u just gassed,shut up,[]
37,"I was there in #DC! RT @Veganmainstream #Obama Delays #KeystoneXL Decision for 12-18 Months, Pipeline's Future in D... http://tl.gd/e4o58v ",Karens,"['DC', 'Obama', 'KeystoneXL']"
38,"""@BarackObama: This Veterans Day, write a note to thank our veterans for their service: http://OFA.BO/VLRtau """,chuck nwosu,[]
39,Video: Obama Heads to Asia-Pacific Summit http://bit.ly/siKc9f ,Wysk,[]
40,“@Jeannie_Hartley: Will Voters Forgive #Obama for Cutting #SocialSecurity? | The Nation http://www.thenation.com/blog/173771/will-voters-forgive-obama-cutting-social-security …”,Just Benji,"['Obama', 'SocialSecurity']"
41,Obama ballin' the fuck up #Moneypic.twitter.com/8bUpVHoeOE,_,['Moneypic']
